seq,src,out_mp3,status,note
s034,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s034.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s034.mp3,ok,ok(attempt=1)
s035,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s035.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s035.mp3,ok,ok(attempt=1)
s036,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s036.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s036.mp3,ok,ok(attempt=1)
s037,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s037.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s037.mp3,ok,ok(attempt=1)
s038,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s038.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s038.mp3,ok,ok(attempt=1)
s039,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s039.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s039.mp3,ok,ok(attempt=1)
s040,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s040.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s040.mp3,ok,ok(attempt=1)
s041,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s041.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s041.mp3,ok,ok(attempt=1)
s042,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s042.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s042.mp3,ok,ok(attempt=1)
s043,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s043.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s043.mp3,ok,ok(attempt=1)
s044,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s044.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s044.mp3,ok,ok(attempt=1)
s045,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s045.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s045.mp3,ok,ok(attempt=1)
s046,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s046.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s046.mp3,ok,ok(attempt=1)
s047,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s047.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s047.mp3,ok,ok(attempt=1)
s048,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s048.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s048.mp3,ok,ok(attempt=1)
s049,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s049.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s049.mp3,ok,ok(attempt=1)
